1.41421 0.00363466 0.00363466 1
2.82843 0.00332313 0.00664625 2
5.65685 0.00336206 0.0134483 4
11.3137 0.00316735 0.0253388 8
22.6274 0.00266434 0.0426294 16
45.2548 0.00193903 0.0620489 32
90.5097 0.00111312 0.0712394 64
181.019 0.000556964 0.0712914 128
362.039 0.000285784 0.0731606 256
724.077 0.000139748 0.071551 512
1448.15 8.27536e-05 0.0847397 1024
2896.31 4.99716e-05 0.102342 2048
5792.62 3.26045e-05 0.133548 4096
11585.2 1.70312e-05 0.139519 8192
23170.5 4.75694e-06 0.0779376 16384
46341 5.94221e-07 0.0194714 32768
92681.9 5.23294e-08 0.00145387 27783
