1.41421 0.181091 0.181091 1
2.82843 0.109101 0.218201 2
5.65685 0.0472834 0.189134 4
11.3137 0.019369 0.154952 8
22.6274 0.00663847 0.106216 16
45.2548 0.00187407 0.0599702 32
90.5097 0.000478079 0.0305971 64
181.019 0.000121227 0.0155171 128
362.039 3.63681e-05 0.00931025 256
724.077 1.47692e-05 0.00756185 512
1448.15 4.65274e-06 0.0047644 1024
2896.31 2.19831e-06 0.00450214 2048
5792.62 9.60427e-07 0.00393391 4096
11585.2 3.46821e-07 0.00284116 8192
23170.5 1.92085e-07 0.00314713 16384
46341 7.3366e-08 0.00240406 32768
92681.9 2.80125e-08 0.00183582 65536
185364 1.36727e-08 0.00179211 131072
370728 2.83459e-09 0.000743072 262144
