1.41421 0.456121 0.456121 1
2.82843 0.144348 0.288695 2
5.65685 0.0362579 0.145031 4
11.3137 0.00694674 0.055574 8
22.6274 0.000891673 0.0142668 16
45.2548 0.000162005 0.00518414 32
90.5097 4.21211e-05 0.00269575 64
181.019 1.81445e-05 0.00232249 128
362.039 7.4522e-06 0.00190776 256
724.077 1.05303e-05 0.0053915 512
1448.15 4.69812e-06 0.00481088 1024
2896.31 1.98455e-06 0.00406436 2048
5792.62 1.0429e-06 0.00427173 4096
11585.2 5.06263e-07 0.00414731 8192
23170.5 1.84786e-07 0.00302754 16384
46341 5.82203e-08 0.00190776 32768
92681.9 1.15478e-08 0.000580623 50280
