1.41421 0.177833 0.177833 1
2.82843 0.10917 0.218339 2
5.65685 0.0476628 0.190651 4
11.3137 0.0193343 0.154674 8
22.6274 0.00678837 0.108614 16
45.2548 0.00201087 0.064348 32
90.5097 0.000435289 0.0278585 64
181.019 0.000119504 0.0152965 128
362.039 3.47163e-05 0.00888737 256
724.077 1.35193e-05 0.00692189 512
1448.15 5.00716e-06 0.00512733 1024
2896.31 2.00286e-06 0.00410186 2048
5792.62 1.00143e-06 0.00410186 4096
11585.2 2.50358e-07 0.00205093 8192
23170.5 1.82553e-07 0.00299094 16384
46341 5.73737e-08 0.00188002 32768
92681.9 2.60789e-08 0.00170911 65536
185364 1.43434e-08 0.00188002 131072
370728 2.93388e-09 0.000769099 262144
