1.41421 0.242076 0.242076 1
2.82843 0.114194 0.228387 2
5.65685 0.0501874 0.200749 4
11.3137 0.0192253 0.153802 8
22.6274 0.0060018 0.0960288 16
45.2548 0.00118735 0.0379951 32
90.5097 0.000185421 0.011867 64
181.019 3.98493e-05 0.00510071 128
362.039 1.44352e-05 0.00369541 256
724.077 7.11595e-06 0.00364337 512
1448.15 2.6939e-06 0.00275855 1024
2896.31 1.29612e-06 0.00265445 2048
5792.62 5.33696e-07 0.00218602 4096
11585.2 1.58838e-07 0.0013012 8192
23170.5 1.11187e-07 0.00182168 16384
46341 3.97095e-08 0.0013012 32768
92681.9 2.62083e-08 0.00171759 65536
185364 9.92739e-09 0.0013012 131072
370728 2.38257e-09 0.000624577 262144
