1 17
2 15
3 13
4 12
5 10
6 17
7 16
8 11
9 12
10 7
11 7
12 6
13 2
14 3
15 6
16 7
17 8
18 5
19 5
20 12
21 14
22 17
23 14
24 10
25 11
26 13
27 10
28 11
29 16
30 22
31 28
32 28
33 30
34 22
35 21
36 26
37 24
38 24
39 22
40 21
41 20
42 24
43 29
44 33
45 33
46 37
47 41
48 43
49 50
50 56
51 49
52 41
53 36
54 27
55 24
56 20
57 20
58 22
59 20
60 14
61 13
62 7
63 5
64 5
65 3
66 5
67 9
68 7
69 10
70 6
71 8
72 7
73 2
74 4
75 5
76 5
77 3
78 2
79 2
80 6
81 7
82 5
83 4
84 3
85 8
86 2
87 2
88 2
89 1
90 7
91 2
92 3
93 2
94 6
95 2
96 6
97 7
98 6
99 9
100 10
